Message{id=05fefc51-1aba-4831-a691-bb8bf792ce4f, timestamp=1779858626540, payload={timestamp=1779858626540, sensorId=sensor, temperature=17.5, unit=°C}}
Message{id=14755ddf-4233-40d2-9edc-c9035b11d60b, timestamp=1779858901829, payload={sensorId=sensor, timestamp=1779858901829, unit=°C, temperature=16.4}}
Message{id=ac5fc80a-72ba-47f6-bedb-680150929d6f, timestamp=1779858904827, payload={sensorId=sensor, timestamp=1779858904826, unit=°C, temperature=30.0}}
Message{id=790cdd91-48a6-45fe-beff-f7e5f7ca280f, timestamp=1779858905840, payload={sensorId=sensor, timestamp=1779858905840, unit=°C, temperature=20.0}}
Message{id=9cfdb144-208d-4a23-94c4-86fc0b2b09dc, timestamp=1779858919845, payload={sensorId=sensor, timestamp=1779858919845, unit=°C, temperature=28.3}}
Message{id=e3903fe7-e6a5-401c-9bf4-2cf4d233c7a2, timestamp=1779858921830, payload={sensorId=sensor, timestamp=1779858921830, unit=°C, temperature=21.4}}
Message{id=8506c7ec-43c5-434c-85ab-771434a28c0e, timestamp=1779858923831, payload={sensorId=sensor, timestamp=1779858923831, unit=°C, temperature=29.9}}
Message{id=7c9a599d-7bcd-4d5f-9d6f-e7e779ccd1f4, timestamp=1779858924830, payload={sensorId=sensor, timestamp=1779858924830, unit=°C, temperature=19.6}}
Message{id=19063418-90d3-4099-b039-27e900a568d1, timestamp=1779858926831, payload={sensorId=sensor, timestamp=1779858926830, unit=°C, temperature=24.2}}
Message{id=5a75833f-629e-44a7-8efd-aa861ed050dd, timestamp=1779860385746, payload={unit=°C, temperature=19.6, sensorId=sensor, timestamp=1779860385746}}
Message{id=c25f970c-b397-4fba-8985-1c544b3a661f, timestamp=1779860387748, payload={unit=°C, temperature=27.9, sensorId=sensor, timestamp=1779860387748}}
Message{id=1d61907d-b43a-4278-bedd-ae9c33a6d56c, timestamp=1779860393750, payload={unit=°C, temperature=22.7, sensorId=sensor, timestamp=1779860393750}}
Message{id=8c331fd0-b8b7-44e3-90da-a80ea4ef60b2, timestamp=1779860394746, payload={unit=°C, temperature=25.4, sensorId=sensor, timestamp=1779860394746}}
Message{id=3dd955d8-04e8-4d34-9a1d-571d551be4f7, timestamp=1779860396750, payload={unit=°C, temperature=22.4, sensorId=sensor, timestamp=1779860396750}}
Message{id=f9c01e0b-45ab-4dc2-8827-280958369a0e, timestamp=1779860398746, payload={unit=°C, temperature=26.9, sensorId=sensor, timestamp=1779860398746}}
Message{id=4631d13c-1b72-4e32-ad64-8dd90a8c5fff, timestamp=1779860403747, payload={unit=°C, temperature=15.6, sensorId=sensor, timestamp=1779860403747}}
Message{id=55714578-643e-4b86-830d-4d4c43ec504a, timestamp=1779860406745, payload={unit=°C, temperature=19.8, sensorId=sensor, timestamp=1779860406745}}
Message{id=1ec02139-4a58-4394-a32d-baf9204e100d, timestamp=1779860407745, payload={unit=°C, temperature=28.3, sensorId=sensor, timestamp=1779860407745}}
Message{id=7d48bf42-87b2-4af7-bce8-30b45fcd2a55, timestamp=1779860408745, payload={unit=°C, temperature=20.0, sensorId=sensor, timestamp=1779860408745}}
